title,url,view,extra,eps
Sentai Red Isekai de Boukensha ni Naru,https://animevietsub.show/phim/sentai-red-isekai-de-boukensha-ni-naru-a5508/,"Lượt xem: 684,164",9.5,HOÀNTẤT
Kinnikuman: Kanpeki Chоujin Shiso-hen 2nd Season,https://animevietsub.show/phim/kinnikuman-kanpeki-chujin-shiso-hen-2nd-season-a5559/,"Lượt xem: 46,752",6.7,HOÀNTẤT
100 Cô Bạn Gái Yêu Bạn Rất Rất Rất Rất Rất Nhiều Mùa 2,https://animevietsub.show/phim/kimi-no-koto-ga-daidaidaidaidaisuki-na-100-nin-no-kanojo-2nd-season-a5497/,"Lượt xem: 1,104,395",7.1,HOÀNTẤT
One Piece: Gyojin Tou-hen,https://animevietsub.show/phim/one-piece-gyojin-tou-hen-i1-a5493/,"Lượt xem: 1,410,798",8.2,HOÀNTẤT
NEET Kunoichi to Nazeka Dousei Hajimemashita,https://animevietsub.show/phim/neet-kunoichi-to-nazeka-dousei-hajimemashita-a5512/,"Lượt xem: 554,295",8.9,HOÀNTẤT
Babanbabanban Vampire,https://animevietsub.show/phim/babanbabanban-vampire-a5558/,"Lượt xem: 102,412",7,HOÀNTẤT
"Chào Mừng Đến Với Nhật Bản, Cô Elf!",https://animevietsub.show/phim/nihon-e-youkoso-elf-san-a5525/,"Lượt xem: 990,464",9.6,HOÀNTẤT
"Guild no Uketsukejou desu ga, Zangyou wa Iya nanode Boss wo Solo Toubatsu Shiyou to Omoimasu",https://animevietsub.show/phim/guild-no-uketsukejou-desu-ga-zangyou-wa-iya-nanode-boss-wo-solo-toubatsu-shiyou-to-omoimasu-a5527/,"Lượt xem: 1,081,096",9.2,HOÀNTẤT
Ông Chú Chuyển Sinh Thành Tiểu Thư Độc Ác,https://animevietsub.show/phim/akuyaku-reijou-tensei-ojisan-a5505/,"Lượt xem: 571,847",9.5,HOÀNTẤT
Nhà Có 3 Vu Nữ,https://animevietsub.show/phim/amagami-san-chi-no-enmusubi-a5426/,"Lượt xem: 4,101,959",9.7,HOÀNTẤT
Youkai Gakkou no Sensei Hajimemashita!,https://animevietsub.show/phim/youkai-gakkou-no-sensei-hajimemashita-a5476/,"Lượt xem: 1,280,947",9.6,HOÀNTẤT
Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai,https://animevietsub.show/phim/kuroiwa-medaka-ni-watashi-no-kawaii-ga-tsuujinai-a5524/,"Lượt xem: 1,461,616",7.2,HOÀNTẤT
Bí Mật Tình Yêu Nơi Công Sở,https://animevietsub.show/phim/kono-kaisha-ni-suki-na-hito-ga-imasu-a5515/,"Lượt xem: 1,282,782",9.6,HOÀNTẤT
Zenshuu.,https://animevietsub.show/phim/zenshuu-a5482/,"Lượt xem: 1,066,690",9.6,HOÀNTẤT
Tôi Muốn Bỏ Chạy Khỏi Chương Trình Giáo Dục Hoàng Tử Phi,https://animevietsub.show/phim/kisaki-kyouiku-kara-nigetai-watashi-a5504/,"Lượt xem: 177,275",6.8,HOÀNTẤT
